
=======================System Start[2026-04-18 13:32:14]========================
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 初始化药品链表 | Result: 成功
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 初始化处方链表 | Result: 成功
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 初始化床位链表 | Result: 成功
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 加载处方数据 | Result: 成功加载0条，跳过0条
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 加载床位数据 | Result: 成功加载10条
[2026-04-18 13:32:14] [INFO] Operator: 系统 | Action: 系统初始化 | Result: 所有模块初始化完成，数据加载成功
[2026-04-18 13:33:22] [INFO] Operator: 系统 | Action: 用户登录 | Result: 用户：DOC001，角色：2，登录成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 保存药品数据到文件 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 保存处方数据 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 保存床位数据 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: DOC001 | Action: 手动保存数据 | Result: 所有数据保存成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 释放床位链表内存 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 释放处方链表内存 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: 系统 | Action: 释放药品链表内存 | Result: 成功
[2026-04-18 13:34:05] [INFO] Operator: DOC001 | Action: 系统退出 | Result: 系统安全退出，所有内存已释放

=======================System Start[2026-04-19 19:11:08]========================
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 初始化药品链表 | Result: 成功
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 初始化处方链表 | Result: 成功
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 初始化床位链表 | Result: 成功
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 加载处方数据 | Result: 成功加载0条，跳过0条
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 加载床位数据 | Result: 成功加载10条
[2026-04-19 19:11:08] [INFO] Operator: 系统 | Action: 系统初始化 | Result: 所有模块初始化完成，数据加载成功
[2026-04-19 19:11:39] [INFO] Operator: 系统 | Action: 用户登录 | Result: 用户：admin，角色：1，登录成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 保存药品数据到文件 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 保存处方数据 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 保存床位数据 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: admin | Action: 手动保存数据 | Result: 所有数据保存成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 释放床位链表内存 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 释放处方链表内存 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: 系统 | Action: 释放药品链表内存 | Result: 成功
[2026-04-19 19:12:46] [INFO] Operator: admin | Action: 系统退出 | Result: 系统安全退出，所有内存已释放

=======================System Start[2026-04-19 19:12:51]========================
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 初始化药品链表 | Result: 成功
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 初始化处方链表 | Result: 成功
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 初始化床位链表 | Result: 成功
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 加载处方数据 | Result: 成功加载0条，跳过0条
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 加载床位数据 | Result: 成功加载10条
[2026-04-19 19:12:51] [INFO] Operator: 系统 | Action: 系统初始化 | Result: 所有模块初始化完成，数据加载成功
[2026-04-19 19:12:58] [INFO] Operator: 系统 | Action: 用户登录 | Result: 用户：DOC001，角色：2，登录成功
[2026-04-19 19:14:36] [INFO] Operator: 系统 | Action: 保存药品数据到文件 | Result: 成功
[2026-04-19 19:14:36] [INFO] Operator: 系统 | Action: 保存处方数据 | Result: 成功
[2026-04-19 19:14:36] [INFO] Operator: 系统 | Action: 保存床位数据 | Result: 成功
[2026-04-19 19:14:36] [INFO] Operator: DOC001 | Action: 手动保存数据 | Result: 所有数据保存成功
[2026-04-19 19:14:36] [INFO] Operator: 系统 | Action: 释放床位链表内存 | Result: 成功
